r,numerical_phi,pinn_phi
0.8134878064189976,-0.21679536822427659,-0.78760034
0.8350071669866876,-0.17699362992895784,-0.7773845
0.8410680611499743,-0.16576992895146891,-0.77447784
0.8413996499504883,-0.16515583108443127,-0.7743186
0.8483771408519192,-0.15223368509719754,-0.7709563
0.85347464993768,-0.1427948522232731,-0.7684891
0.884925020519195,-0.08469232133199373,-0.7530801
0.902897700544083,-0.051691615990247575,-0.74413395
0.9120610304869037,-0.03495340439564443,-0.7395352
0.9128667678613356,-0.03348488876692374,-0.7391295
0.9310276780589921,-0.0005466326859058235,-0.7299372
0.9367476782809248,0.009756565803947015,-0.72702265
0.93981939840869,0.01527392981233644,-0.72545356
0.944429607559284,0.023533238165322934,-0.7230936
0.9717649377076854,0.07191130592807715,-0.7089834
0.9767211400638387,0.08056145580931229,-0.70640385
0.9783416065100148,0.08338084209376873,-0.7055594
1.0077800137742665,0.13377165261214696,-0.6901008
1.0112267612279024,0.1395607520466109,-0.68827724
1.014715428660321,0.1453947683261334,-0.68642855
1.031238688359326,0.17266181793437407,-0.67763567
1.0789142699330445,0.24754190907856766,-0.65193594
1.1005192452767676,0.27936321302291356,-0.6401417
1.1119748230615134,0.29564233808750173,-0.63385415
1.1347352124058907,0.3265187872334098,-0.6212948
1.1586905952512971,0.3571067988289559,-0.6079864
1.1607264050691624,0.3596069163005636,-0.6068515
1.1706701642760586,0.3715875276434919,-0.6012991
1.1752624677710488,0.3769891904714928,-0.5987305
1.1816482762165625,0.3843601221669284,-0.59515345
1.1881791626807192,0.39172725765243377,-0.5914897
1.195942459383017,0.4002556672617565,-0.58712727
1.198653673336828,0.40317473924690184,-0.5856018
1.2203823484477883,0.42543346255358283,-0.5733448
1.2706051265188478,0.46876902021322864,-0.5448188
1.3752094414599325,0.519294119037389,-0.48476264
1.3949386065204183,0.5224241003030556,-0.4733717
1.4008401523652403,0.5229545324649275,-0.46996185
1.4092422497476265,0.5233858304276722,-0.46510565
1.4299168205283586,0.5228216576114214,-0.45314956
1.448948720912231,0.5202532508171293,-0.44213703
1.5599452033620265,0.46642614794953396,-0.37793434
1.5601864044243652,0.4662381244450713,-0.37779504
1.5643704267108605,0.4629290059170693,-0.37537965
1.6080805141749865,0.4230769710197103,-0.35018626
1.6122128725400442,0.41882108038718513,-0.3478086
1.6162871409461377,0.4145443893007451,-0.34546533
1.629344270814297,0.40030502795869627,-0.33796135
1.6949274668609249,0.3170726426325774,-0.3004233
1.7052412368729153,0.30231273291616806,-0.2945464
1.7320186991001518,0.26204721496783645,-0.27932608
1.7329432007084578,0.26060871244317896,-0.27880213
1.7436642900499144,0.24370069550997245,-0.27272528
1.7711067940704894,0.1986069077683542,-0.25721568
1.7743954377972282,0.19303659572105158,-0.25536174
1.8182496720710062,0.11569071033057104,-0.23073608
1.8340450985343382,0.08657141485322623,-0.22191325
1.8485445552552704,0.05933094322897492,-0.21383715
1.8651851039985423,0.02752592402939036,-0.2045969
1.8657005888603584,0.026532131511025847,-0.20431086
1.881211597237613,-0.003590814411704779,-0.19572642
1.952429877980445,-0.14594432240692268,-0.1566722
1.9579113478929644,-0.15707261023800334,-0.15369181
1.959828624191452,-0.16096776314473815,-0.15265036
1.987156815341724,-0.21656741519329248,-0.13785642
1.9967378215835974,-0.2360574214667378,-0.13269325
2.1233911067827616,-0.48574338459085864,-0.06561759
2.1582102749684315,-0.5491691817152082,-0.047580868
2.2210781047073027,-0.6544326886050231,-0.015476853
2.235958385194526,-0.6772924447652212,-0.007966727
2.242693094605598,-0.6873521697800721,-0.0045791566
2.2649577519793795,-0.719278337070551,0.0065696836
2.279351625419417,-0.7387836678403332,0.013735443
2.2879816549162246,-0.7500332793835797,0.018016577
2.3724908749680007,-0.8410586894029219,0.05930838
2.3763754399239967,-0.8443548434505974,0.061178923
2.395618906669724,-0.8594658254635804,0.0704079
2.418522909004517,-0.8747590830770605,0.081314564
2.4205527151150044,-0.8759708938744728,0.08227691
2.4398964337908358,-0.8863297559700888,0.09141499
2.4773098950115746,-0.9001595501152896,0.10891566
2.4929222914887497,-0.9034741511927611,0.11615023
2.502428981645953,-0.904777172862881,0.12053624
2.5178229582536416,-0.9057344747072056,0.12760648
2.579416277151556,-0.8952772572721055,0.15550539
2.587799816000169,-0.8920929799896424,0.15925398
2.6520236768172545,-0.8539053303598373,0.18759045
2.708322512620742,-0.8011520192013226,0.21187338
2.713490317738959,-0.7954518930084323,0.21407625
2.7738118298113266,-0.7189555422956998,0.23946986
2.7864646423661146,-0.7007054037544009,0.24472138
2.7993389694594284,-0.681403900752672,0.250038
2.807723624408558,-0.6684487409900559,0.25348654
2.8093450968738076,-0.6659091573058807,0.2541518
2.809631895922303,-0.665458823638462,0.2542698
2.8185477477339993,-0.6512896375234949,0.2579213
2.820345725713065,-0.6483929423242412,0.25865623
2.848404943774676,-0.601549160693001,0.27005723
2.8571208628186073,-0.586399924549367,0.273573
2.865412521282844,-0.5717398296989751,0.27690634
2.8975145291376805,-0.5128552822936178,0.28970906
2.9122914019804194,-0.48471092809729227,0.2955471
2.9214464853521815,-0.46697723656729034,0.29914752
2.9321077169806453,-0.4460595076298983,0.30332258
2.9359184426449336,-0.4385166660188548,0.30481067
2.944488920695857,-0.4214320981003379,0.30814955
3.0087830981676964,-0.2889588540978756,0.33283046
3.0424224295953772,-0.21762728332523706,0.34548935
3.0461376917337066,-0.20970536597574674,0.34687695
3.109823217156622,-0.07384711009837464,0.37033543
3.1171107608941098,-0.058408196190892214,0.37298086
3.143559810763267,-0.0028179397551142404,0.38251576
3.1692200515627764,0.05021809071387151,0.39166728
3.1800347497186388,0.07223426931099297,0.39549503
3.189756302937613,0.0918285856262383,0.39892128
3.1931363759041487,0.09859473980636257,0.40010974
3.2004960103061175,0.11323946075779201,0.4026905
3.2078006497173583,0.12755615563327063,0.40524468
3.2295647294124596,0.16964996465458032,0.4128085
3.2320293202075523,0.1743358974388457,0.41366115
3.2518332202674705,0.21134016735186262,0.42047736
3.2533033076326436,0.21403909979602828,0.42098108
3.2539969815926773,0.21531022685547554,0.42121884
3.2866454536991596,0.27330831335954037,0.4323236
3.308980248526492,0.3107522424751634,0.4398336
3.3761517140362796,0.4107376197471306,0.4620013
3.379951568515358,0.4157739222548206,0.46323636
3.390297910487007,0.4291270949417525,0.46659014
3.4080354025301784,0.45076641056018574,0.47230586
3.410663510502585,0.4538351678127901,0.47314915
3.492095746126609,0.5302824260610244,0.49881938
3.5091501255207866,0.5415016070949935,0.5040846
3.533522280260528,0.5545275895409566,0.5115433
3.559726786512616,0.5645220532737453,0.5194777
3.567533266935893,0.5666875578968357,0.52182424
3.5846572854427263,0.5701240621073967,0.5269449
3.5949115121975517,0.571315668807845,0.5299934
3.601906414112629,0.5717556343118105,0.5320653
3.63629602379294,0.5695210640352975,0.54216254
3.663618432936917,0.5625463956433864,0.55008066
3.6771580305943354,0.5573966478093616,0.55397034
3.677831327192532,0.5571115554484247,0.5541632
3.7015870025544437,0.5453086013505002,0.5609325
3.706421470668909,0.5424943058914672,0.56230164
3.720180857927832,0.5337307042365307,0.5661832
3.742707957561203,0.5170078583560642,0.5724895
3.745401188473625,0.5148141045285206,0.5732393
3.746126146264712,0.5142165763706958,0.57344115
3.748705795237041,0.5120662846732701,0.5741583
